;Name;PSNR_00;SSIM_00;LPIPS_00;tOF_00;tLP100_00
18;Patin_Test_RSS_2_1_10__10;36.152325;0.97944236;0.026400302;0.27598405;0.14845575
18;Patin_Test_RSS_RS_2_1_10__1;36.148293;0.97940546;0.026466059;0.27541977;0.15055165
18;Patin_Test_RSS_RS_2_1_10__2;36.21652;0.97989297;0.026028877;0.27878344;0.14131698
18;Patin_Test_RSS_RS_2_1_10__3;36.25593;0.9800804;0.026444376;0.28025955;0.1317603
18;Patin_Test_RSS_RS_2_1_10__4;36.244602;0.9801591;0.026726969;0.28191525;0.13406226
18;Patin_Test_RSS_RS_2_1_10__5;36.237595;0.98006797;0.026665036;0.28186908;0.13326988
18;Patin_Test_RSS_RS_2_1_10__6;36.24154;0.9801075;0.026594538;0.2820439;0.13503255
18;Patin_Test_RSS_RS_2_1_10__7;36.252182;0.9801047;0.026553662;0.2816952;0.13182041
18;Patin_Test_RSS_RS_2_1_10__8;36.245667;0.9801595;0.026755586;0.28203413;0.13509919
18;Patin_Test_RSS_RS_2_1_10__9;36.241898;0.98008573;0.026686745;0.28222537;0.13410169
18;Patin_Test_RSS_RS_2_1_10__10;36.243423;0.98011804;0.026621826;0.2820552;0.1357966
