;Name;PSNR_00;SSIM_00;LPIPS_00;tOF_00;tLP100_00
31;City_Test_RSS_SS_ST_3__2;26.807049;0.76674277;0.20744672;0.2598997;0.90014374
31;City_Test_RSS_SS_ST_3__3;26.812473;0.7670926;0.20730342;0.26024073;0.89103705
31;City_Test_RSS_SS_3__1;26.792889;0.76624835;0.20788328;0.26174697;0.9438622
31;City_Test_RSS_SS_3__2;26.80705;0.76674265;0.20744656;0.25990126;0.90014255
31;City_Test_RSS_SS_3__3;26.812473;0.7670925;0.207303;0.26024145;0.891035
18;Patin_Test_RSS_RS_2_1_3__1;36.14758;0.9794067;0.026470928;0.2754668;0.15193662
18;Patin_Test_RSS_RS_2_1_3__2;36.21603;0.97988915;0.026029512;0.27888417;0.14241976
18;Patin_Test_RSS_RS_2_1_3__3;36.25579;0.98008066;0.026447993;0.28054342;0.1327136
18;Patin_Test_RSS_RS_RT_2_1_3__1;36.21085;0.9796881;0.026336253;0.28237706;0.19491324
18;Patin_Test_RSS_RS_RT_2_1_3__2;36.246258;0.9801135;0.026279142;0.2855215;0.15504713
18;Patin_Test_RSS_RS_RT_2_1_3__3;36.24266;0.9799108;0.026173271;0.2851997;0.15981057
18;Patin_Test_RSS_RT_2_1_3__1;36.210854;0.9796881;0.02633626;0.28237706;0.19492829
18;Patin_Test_RSS_RT_2_1_3__2;36.211353;0.9797147;0.026029054;0.2821107;0.18179473
18;Patin_Test_RSS_RT_2_1_3__3;36.21184;0.97972244;0.025965894;0.28212655;0.17814529
18;Patin_Test_RSS_2_1_3__1;36.147583;0.9794067;0.026470881;0.27546728;0.15193564
18;Patin_Test_RSS_2_1_3__2;36.14775;0.9794235;0.026437322;0.2754112;0.14927107
18;Patin_Test_RSS_2_1_3__3;36.149334;0.97943103;0.026403982;0.27576348;0.1470692
18;Patin_Test_RSS_BB_2_1_3__1;36.145016;0.979385;0.026523931;0.2867521;0.15728149
18;Patin_Test_RSS_BB_2_1_3__2;36.145386;0.9793995;0.026479062;0.2891094;0.15463619
18;Patin_Test_RSS_BB_2_1_3__3;36.147285;0.97940916;0.026457688;0.28892177;0.15150201
18;Patin_Test_Salt_Noise_03_3__1;34.54373;0.969621;0.22375105;1.0468616;21.488052
18;Patin_Test_Salt_Noise_03_3__2;35.30774;0.9700095;0.25548646;0.9244578;21.710587
18;Patin_Test_Salt_Noise_03_3__3;35.6128;0.969989;0.266907;0.7950705;21.875696
18;Patin_Test_Gaussian_Noise_03_3__1;32.819054;0.74650323;0.43967238;4.360679;35.030785
18;Patin_Test_Gaussian_Noise_03_3__2;33.541702;0.78233176;0.46104285;3.100786;27.353882
18;Patin_Test_Gaussian_Noise_03_3__3;34.102566;0.8213011;0.4523904;2.3294091;18.793983
18;Patin_Test_sp_Noise_03_3__1;35.721687;0.9765249;0.09466207;0.38165575;7.22769
18;Patin_Test_sp_Noise_03_3__2;35.72439;0.97392833;0.17639959;0.52165383;18.081062
18;Patin_Test_sp_Noise_03_3__3;35.874058;0.9741571;0.1822475;0.4776725;18.629547
18;Patin_Test_Gaussian_Noise_03_BlurGaussian_1_5_3__1;33.428104;0.9565441;0.16458142;0.9148892;2.3231435
